as_of_date,target_date,instrument,instrument_type,component,feature,feature_value,threshold,mode,hold_days,side,target_weight,target_notional,target_shares,previous_close,previous_close_date,lower_25bps,upper_25bps,entry_date,estimated_liquidate_date,signal_date,market_hedge,sector_hedge,reason,excluded_live,exclusion_reason,market_beta,sector_beta,current_shares,current_weight,current_notional,trade_weight,trade_notional,trade_shares,rounded_target_shares,rounded_trade_shares,action,below_trade_buffer,manual_price_note
2026-06-21,2026-06-22,ASH,stock,chemical,carry,-0.1395,0.02,sign,,0.0,0.0,0.0,0.0,57.46,2026-06-08,57.32,57.6,2026-06-22,,2026-06-21,SPY,XLE,excluded live: ib no price/borrow in review,True,ib no price/borrow in review,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOLD,True,hold
2026-06-21,2026-06-22,ATI,stock,metals,calendar_dec_annualized_carry,-0.131305326906,0.015,fixed_hold,21,1.0,0.025,375.0,2.1,180.14,2026-06-08,179.69,180.59,2026-06-09,2026-07-08,2026-06-08,SPY,XME,fixed_hold active from 2026-06-09 to before 2026-07-08,False,,1.1,0.3,0.0,0.0,0.0,0.025,375.0,2.1,2.0,2.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference
2026-06-21,2026-06-22,AVNT,stock,chemical,carry,-0.1395,0.02,sign,,-1.0,-0.021,-321.43,-9.3,34.49,2026-06-08,34.4,34.58,2026-06-22,,2026-06-21,SPY,XLE,continuous sign active,False,,1.1,0.0,0.0,0.0,0.0,-0.021,-321.43,-9.3,-9.0,-9.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference
2026-06-21,2026-06-22,CASY,stock,fuel,front_third_spread,0.0234588106929,0.01,fixed_hold,10,1.0,0.038,562.5,0.7,842.25,2026-06-18,840.14,844.36,2026-06-18,2026-07-02,2026-06-17,SPY,,fixed_hold active from 2026-06-18 to before 2026-07-02,False,,0.1,0.0,0.0,0.0,0.0,0.038,562.5,0.7,1.0,1.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference
2026-06-21,2026-06-22,CE,stock,chemical,carry,-0.1395,0.02,sign,,-1.0,-0.021,-321.43,-6.5,49.08,2026-06-08,48.96,49.2,2026-06-22,,2026-06-21,SPY,XLE,continuous sign active,False,,1.0,1.0,0.0,0.0,0.0,-0.021,-321.43,-6.5,-7.0,-7.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference
2026-06-21,2026-06-22,CRS,stock,metals,calendar_dec_annualized_carry,-0.131305326906,0.015,fixed_hold,21,1.0,0.025,375.0,0.8,499.09,2026-06-08,497.84,500.34,2026-06-09,2026-07-08,2026-06-08,SPY,XME,fixed_hold active from 2026-06-09 to before 2026-07-08,False,,0.9,0.3,0.0,0.0,0.0,0.025,375.0,0.8,1.0,1.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference
2026-06-21,2026-06-22,DHT,stock,shipping,calendar_dec_annualized_carry,-0.131305326906,0.01,fixed_hold,10,1.0,0.035,525.0,31.9,16.44,2026-06-08,16.4,16.48,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,0.2,0.1,0.0,0.0,0.0,0.035,525.0,31.9,32.0,32.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference
2026-06-21,2026-06-22,DINO,stock,refiner,liquid_deferred_annualized_carry_chg_21d,-0.0328989028266,0.01,fixed_hold,10,0.0,0.0,0.0,0.0,72.39,2026-06-08,72.21,72.57,,,,SPY,XLE,no active fixed-hold event,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOLD,True,hold
2026-06-21,2026-06-22,DK,stock,refiner,liquid_deferred_annualized_carry_chg_21d,-0.0328989028266,0.01,fixed_hold,10,0.0,0.0,0.0,0.0,48.48,2026-06-08,48.36,48.6,,,,SPY,XLE,no active fixed-hold event,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOLD,True,hold
2026-06-21,2026-06-22,DOW,stock,chemical,carry,-0.1395,0.02,sign,,-1.0,-0.021,-321.43,-9.4,34.2,2026-06-08,34.11,34.29,2026-06-22,,2026-06-21,SPY,XLE,continuous sign active,False,,0.6,1.2,0.0,0.0,0.0,-0.021,-321.43,-9.4,-9.0,-9.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference
