as_of_date,target_date,instrument,instrument_type,component,feature,feature_value,threshold,mode,hold_days,side,target_weight,target_notional,target_shares,previous_close,lower_25bps,upper_25bps,entry_date,estimated_liquidate_date,signal_date,market_hedge,sector_hedge,reason,excluded_live,exclusion_reason,price_band_bps
2026-06-18,2026-06-19,PSX,stock,refiner,liquid_deferred_annualized_carry_chg_21d,-0.03289890282658159,0.01,fixed_hold,10.0,0,0.0,0.0,0.0,183.42,182.96,183.88,,,,SPY,XLE,no active fixed-hold event,False,,25.0
2026-06-18,2026-06-19,DK,stock,refiner,liquid_deferred_annualized_carry_chg_21d,-0.03289890282658159,0.01,fixed_hold,10.0,0,0.0,0.0,0.0,48.48,48.36,48.6,,,,SPY,XLE,no active fixed-hold event,False,,25.0
2026-06-18,2026-06-19,DINO,stock,refiner,liquid_deferred_annualized_carry_chg_21d,-0.03289890282658159,0.01,fixed_hold,10.0,0,0.0,0.0,0.0,72.39,72.21,72.57,,,,SPY,XLE,no active fixed-hold event,False,,25.0
2026-06-18,2026-06-19,MUSA,stock,fuel,front_third_spread,0.024277770242777663,0.01,fixed_hold,10.0,1,0.038,562.5,1.0,551.26,549.88,552.64,2026-06-18,2026-07-02,2026-06-17,SPY,,fixed_hold active from 2026-06-18 to before 2026-07-02,False,,25.0
2026-06-18,2026-06-19,CASY,stock,fuel,front_third_spread,0.024277770242777663,0.01,fixed_hold,10.0,1,0.038,562.5,0.7,842.25,840.14,844.36,2026-06-18,2026-07-02,2026-06-17,SPY,,fixed_hold active from 2026-06-18 to before 2026-07-02,False,,25.0
2026-06-18,2026-06-19,FTI,stock,services,carry_chg_21d,0.45330000000000004,0.01,sign,,-1,-0.105,-1575.0,-22.9,68.75,68.58,68.92,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,25.0
2026-06-18,2026-06-19,OII,stock,services,carry_chg_21d,0.45330000000000004,0.01,sign,,-1,-0.07,-1050.0,-26.8,39.19,39.09,39.29,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,25.0
2026-06-18,2026-06-19,DHT,stock,shipping,calendar_dec_annualized_carry,-0.122594966529169,0.01,fixed_hold,10.0,1,0.035,525.0,31.9,16.44,16.4,16.48,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,25.0
2026-06-18,2026-06-19,FRO,stock,shipping,calendar_dec_annualized_carry,-0.122594966529169,0.01,fixed_hold,10.0,1,0.035,525.0,15.0,35.01,34.92,35.1,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,25.0
2026-06-18,2026-06-19,TNK,stock,shipping,calendar_dec_annualized_carry,-0.122594966529169,0.01,fixed_hold,10.0,1,0.035,525.0,7.3,71.66,71.48,71.84,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,25.0
2026-06-18,2026-06-19,STNG,stock,shipping,calendar_dec_annualized_carry,-0.122594966529169,0.01,fixed_hold,10.0,1,0.035,525.0,6.9,76.12,75.93,76.31,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,25.0
2026-06-18,2026-06-19,INSW,stock,shipping,calendar_dec_annualized_carry,-0.122594966529169,0.01,fixed_hold,10.0,1,0.035,525.0,6.4,81.42,81.22,81.62,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,25.0
2026-06-18,2026-06-19,AVNT,stock,chemical,carry,-0.1394,0.02,sign,,-1,-0.021,-321.43,-9.3,34.49,34.4,34.58,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,25.0
2026-06-18,2026-06-19,ASH,stock,chemical,carry,-0.1394,0.02,sign,,0,-0.0,-0.0,-0.0,57.46,57.32,57.6,2026-06-19,,2026-06-18,SPY,XLE,excluded live: ib no price/borrow in review,True,ib no price/borrow in review,25.0
2026-06-18,2026-06-19,CE,stock,chemical,carry,-0.1394,0.02,sign,,-1,-0.021,-321.43,-6.5,49.08,48.96,49.2,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,25.0
2026-06-18,2026-06-19,DOW,stock,chemical,carry,-0.1394,0.02,sign,,-1,-0.021,-321.43,-9.4,34.2,34.11,34.29,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,25.0
2026-06-18,2026-06-19,EMN,stock,chemical,carry,-0.1394,0.02,sign,,-1,-0.021,-321.43,-4.5,71.67,71.49,71.85,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,25.0
2026-06-18,2026-06-19,HUN,stock,chemical,carry,-0.1394,0.02,sign,,-1,-0.021,-321.43,-22.6,14.23,14.19,14.27,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,25.0
2026-06-18,2026-06-19,LYB,stock,chemical,carry,-0.1394,0.02,sign,,-1,-0.021,-321.43,-5.0,64.43,64.27,64.59,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,25.0
2026-06-18,2026-06-19,WLK,stock,chemical,carry,-0.1394,0.02,sign,,-1,-0.021,-321.43,-3.8,85.26,85.05,85.47,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,25.0
2026-06-18,2026-06-19,ATI,stock,metals,calendar_dec_annualized_carry,-0.122594966529169,0.015,fixed_hold,21.0,1,0.025,375.0,2.1,180.14,179.69,180.59,2026-06-09,2026-07-08,2026-06-08,SPY,XME,fixed_hold active from 2026-06-09 to before 2026-07-08,False,,25.0
2026-06-18,2026-06-19,CRS,stock,metals,calendar_dec_annualized_carry,-0.122594966529169,0.015,fixed_hold,21.0,1,0.025,375.0,0.8,499.09,497.84,500.34,2026-06-09,2026-07-08,2026-06-08,SPY,XME,fixed_hold active from 2026-06-09 to before 2026-07-08,False,,25.0
2026-06-18,2026-06-19,ERO,stock,bwt,brent_wti_carry_spread,0.042899999999999994,0.02,sign,,-1,-0.017,-250.0,-9.3,26.9,26.83,26.97,2026-06-19,,2026-06-18,SPY,XME,continuous sign active,False,,25.0
2026-06-18,2026-06-19,TECK,stock,bwt,brent_wti_carry_spread,0.042899999999999994,0.02,sign,,-1,-0.017,-250.0,-4.0,62.09,61.93,62.25,2026-06-19,,2026-06-18,SPY,XME,continuous sign active,False,,25.0
2026-06-18,2026-06-19,NEXA,stock,bwt,brent_wti_carry_spread,0.042899999999999994,0.02,sign,,-1,-0.017,-250.0,-18.2,13.73,13.7,13.76,2026-06-19,,2026-06-18,SPY,XME,continuous sign active,False,,25.0
