as_of_date,target_date,instrument,instrument_type,component,feature,feature_value,threshold,mode,hold_days,side,target_weight,target_notional,target_shares,previous_close,lower_25bps,upper_25bps,entry_date,estimated_liquidate_date,signal_date,market_hedge,sector_hedge,reason,excluded_live,exclusion_reason,market_beta,sector_beta,current_shares,current_weight,current_notional,trade_weight,trade_notional,trade_shares,rounded_target_shares,rounded_trade_shares,action,below_trade_buffer,manual_price_note,ib_symbol,contract_error,con_id,primary_exchange,long_name,industry,category,subcategory,min_tick,valid_exchanges,market_rule_ids,bid,ask,last,close,ib_mid,spread_bps,shortable,shortable_shares,ib_review_decision,ib_review_reason
2026-06-18,2026-06-19,ASH,stock,chemical,carry,-0.1394,0.02,sign,,-1.0,-0.019,-281.25,-4.9,57.46,57.32,57.6,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,1.2,0.2,0.0,0.0,0.0,-0.019,-281.25,-4.9,-5.0,-5.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,ASH,False,247915706,NYSE,ASHLAND INC,Basic Materials,Chemicals,Chemicals-Specialty,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,,,,,,,manual_review,no_live_price|shortability_missing
2026-06-18,2026-06-19,ATI,stock,metals,calendar_dec_annualized_carry,-0.122594966529,0.015,fixed_hold,21.0,1.0,0.025,375.0,2.1,180.14,179.69,180.59,2026-06-09,2026-07-08,2026-06-08,SPY,XME,fixed_hold active from 2026-06-09 to before 2026-07-08,False,,1.1,0.3,0.0,0.0,0.0,0.025,375.0,2.1,2.0,2.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,ATI,False,1946967,NYSE,ATI INC,Industrial,Aerospace/Defense,Aerospace/Defense-Equip,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,201.34,196.86,201.34,,,2453979.0,ok,
2026-06-18,2026-06-19,AVNT,stock,chemical,carry,-0.1394,0.02,sign,,-1.0,-0.019,-281.25,-8.2,34.49,34.4,34.58,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,1.1,0.0,0.0,0.0,0.0,-0.019,-281.25,-8.2,-8.0,-8.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,AVNT,False,431102494,NYSE,AVIENT CORP,Industrial,Miscellaneous Manufactur,Advanced Materials/Prd,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,37.66,36.58,37.66,,,1437746.0,ok,
2026-06-18,2026-06-19,CASY,stock,fuel,front_third_spread,0.0242777702428,0.01,fixed_hold,10.0,1.0,0.038,562.5,0.7,842.25,840.14,844.36,2026-06-18,2026-07-02,2026-06-17,SPY,,fixed_hold active from 2026-06-18 to before 2026-07-02,False,,0.4,0.0,0.0,0.0,0.0,0.038,562.5,0.7,1.0,1.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,CASY,False,267265,NASDAQ,CASEY'S GENERAL STORES INC,"Consumer, Cyclical",Retail,Retail-Convenience Store,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563",,,845.0,850.85,845.0,,,247458.0,ok,
2026-06-18,2026-06-19,CE,stock,chemical,carry,-0.1394,0.02,sign,,-1.0,-0.019,-281.25,-5.7,49.08,48.96,49.2,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,1.0,1.0,0.0,0.0,0.0,-0.019,-281.25,-5.7,-6.0,-6.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,CE,False,32943358,NYSE,CELANESE CORP,Basic Materials,Chemicals,Chemicals-Diversified,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,51.16,51.23,51.16,,,1820894.0,ok,
2026-06-18,2026-06-19,CRS,stock,metals,calendar_dec_annualized_carry,-0.122594966529,0.015,fixed_hold,21.0,1.0,0.025,375.0,0.8,499.09,497.84,500.34,2026-06-09,2026-07-08,2026-06-08,SPY,XME,fixed_hold active from 2026-06-09 to before 2026-07-08,False,,0.9,0.3,0.0,0.0,0.0,0.025,375.0,0.8,1.0,1.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,CRS,False,6077,NYSE,CARPENTER TECHNOLOGY,Basic Materials,Iron/Steel,Steel-Specialty,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563",,,585.04,575.47,585.04,,,763278.0,ok,
2026-06-18,2026-06-19,DHT,stock,shipping,calendar_dec_annualized_carry,-0.122594966529,0.01,fixed_hold,10.0,1.0,0.035,525.0,31.9,16.44,16.4,16.48,2026-06-09,2026-06-23,2026-06-08,SPY,XLE,fixed_hold active from 2026-06-09 to before 2026-06-23,False,,0.2,0.1,0.0,0.0,0.0,0.035,525.0,31.9,32.0,32.0,BUY,False,buy: lower_25bps is patient bid; upper_25bps is 25bps chase reference,DHT,False,110322264,NYSE,DHT HOLDINGS INC,Industrial,Transportation,Transport-Marine,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,18.78,18.11,18.78,,,5502260.0,ok,
2026-06-18,2026-06-19,DOW,stock,chemical,carry,-0.1394,0.02,sign,,-1.0,-0.019,-281.25,-8.2,34.2,34.11,34.29,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,0.6,1.2,0.0,0.0,0.0,-0.019,-281.25,-8.2,-8.0,-8.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,DOW,False,356576040,NYSE,DOW INC,Basic Materials,Chemicals,Chemicals-Diversified,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,31.68,32.5,31.68,,,14548688.0,ok,
2026-06-18,2026-06-19,EMN,stock,chemical,carry,-0.1394,0.02,sign,,-1.0,-0.019,-281.25,-3.9,71.67,71.49,71.85,2026-06-19,,2026-06-18,SPY,XLE,continuous sign active,False,,1.3,0.4,0.0,0.0,0.0,-0.019,-281.25,-3.9,-4.0,-4.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,EMN,False,6832,NYSE,EASTMAN CHEMICAL CO,Basic Materials,Chemicals,Chemicals-Diversified,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,72.49,72.12,72.49,,,982247.0,ok,
2026-06-18,2026-06-19,ERO,stock,bwt,brent_wti_carry_spread,0.0429,0.02,sign,,-1.0,-0.017,-250.0,-9.3,26.9,26.83,26.97,2026-06-19,,2026-06-18,SPY,XME,continuous sign active,False,,0.5,1.0,0.0,0.0,0.0,-0.017,-250.0,-9.3,-9.0,-9.0,SELL,False,sell: upper_25bps is patient offer; lower_25bps is 25bps chase reference,ERO,False,491932200,NYSE,ERO COPPER CORP,Basic Materials,Mining,Metal-Copper,0.01,"SMART,AMEX,NYSE,CBOE,PHLX,ISE,CHX,ARCA,NASDAQ,DRCTEDGE,BEX,BATS,EDGEA,BYX,IEX,EDGX,FOXRIVER,PEARL,NYSENAT,LTSE,MEMX,IBEOS,OVERNIGHT,TPLUS0,PSX,T24X","26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26",,,29.43,30.43,29.43,,,3163299.0,ok,
